scientific_name,validation_stratum,reason
Stellaria media,temperate_annual_herb,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Fagus sylvatica,temperate_deciduous_tree,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Juniperus communis,boreal_temperate_conifer,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Glyceria maxima,wetland_grass,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Ulex europaeus,temperate_shrub,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Athyrium filix-femina,fern,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Atriplex canescens,arid_shrub,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Avicennia marina,tropical_mangrove,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Nothofagus betuloides,southern_temperate_tree,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Pinus cembra,montane_tree,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Larix laricina,boreal_conifer,predeclared_rank2_unused_after_v271_rank1_fresh_lane
Iris pseudacorus,wetland_emergent,predeclared_rank2_unused_after_v271_rank1_fresh_lane
