"predictor","process","role","source_family","source_version","source_locator","transform"
"bio1","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio2","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio5","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio6","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio8","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio9","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio10","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio11","thermal","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"fcf","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gdd0","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gdd5","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gdd10","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gst","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"ngd0","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"ngd5","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"ngd10","thermal","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio12","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio13","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio14","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio16","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio17","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio18","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio19","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"hurs","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"swe","water","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gsp","water","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"vpd","water","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"pet","water","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"cmi","water","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio3","seasonality","composite","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio4","seasonality","composite","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio7","seasonality","composite","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"bio15","seasonality","composite","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"fgd","seasonality","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gdgfgd5","seasonality","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gdgfgd10","seasonality","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"gsl","seasonality","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"lgd","seasonality","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"scd","seasonality","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"rsds","radiation_energy","direct","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"clt","radiation_energy","proxy","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"npp","productivity","derived","CHELSA","2.1","configs/chelsa_v2_1_plant_candidates.csv","identity"
"sg_phh2o_0_5","soil_substrate","direct","SoilGrids","2.0","https://files.isric.org/soilgrids/latest/data/phh2o/phh2o_0-5cm_mean.vrt","divide_by_10"
"sg_clay_0_5","soil_substrate","direct","SoilGrids","2.0","https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean.vrt","divide_by_10"
"sg_soc_0_5","soil_substrate","direct","SoilGrids","2.0","https://files.isric.org/soilgrids/latest/data/soc/soc_0-5cm_mean.vrt","divide_by_10"
"sg_nitrogen_0_5","soil_substrate","direct","SoilGrids","2.0","https://files.isric.org/soilgrids/latest/data/nitrogen/nitrogen_0-5cm_mean.vrt","divide_by_100"
